ID;Original_Species;Actual_Species;Abundance
31;Oryzomys laticeps;Hylaeamys seuanezi;37
31;Marmosa murina;Marmosa murina;2
31;Marmosops incanus;Marmosops incanus;16
31;Metachirus nudicaudatus;Metachirus nudicaudatus;1
31;Micoureus demerarae;Marmosa demerarae;8
31;Monodelphis americana;Monodelphis americana;9
31;Oligoryzomys sp.;Oligoryzomys sp.;1
31;Rhipidomys mastacalis;Rhipidomys mastacalis;27
31;Thaptomys nigrita;Thaptomys nigrita;2
32;Akodon cursor;Akodon cursor;2
32;Blarinomys breviceps;Blarinomys breviceps;2
32;Didelphis aurita;Didelphis aurita;7
32;Euryoryzomys russatus;Euryoryzomys russatus;2
32;Hylaeamys laticeps;Hylaeamys seuanezi;104
32;Marmosa demerarae;Marmosa demerarae;22
32;Marmosa murina;Marmosa murina;54
32;Monodelphis americana;Monodelphis americana;17
32;Necromys lasiurus;Necromys lasiurus;1
32;Nectomys squamipes;Nectomys squamipes;2
32;Oecomys catherinae;Oecomys catherinae;4
32;Oligoryzomys nigripes;Oligoryzomys nigripes;11
32;Rhipidomys mastacalis;Rhipidomys mastacalis;10
32;Thaptomys nigrita;Thaptomys nigrita;13
33;Blarinomys breviceps;Blarinomys breviceps;2
33;Didelphis aurita;Didelphis aurita;5
33;Hylaeamys laticeps;Hylaeamys seuanezi;53
33;Marmosa demerarae;Marmosa demerarae;11
33;Marmosa murina;Marmosa murina;19
33;Monodelphis americana;Monodelphis americana;11
33;Necromys lasiurus;Necromys lasiurus;1
33;Oecomys catherinae;Oecomys catherinae;3
33;Oligoryzomys nigripes;Oligoryzomys nigripes;3
33;Rhipidomys mastacalis;Rhipidomys mastacalis;3
33;Thaptomys nigrita;Thaptomys nigrita;10
34;Akodon cursor;Akodon cursor;3
34;Didelphis aurita;Didelphis aurita;4
34;Hylaeamys laticeps;Hylaeamys seuanezi;15
34;Marmosa murina;Marmosa murina;16
34;Marmosops incanus;Marmosops incanus;4
34;Rhipidomys mastacalis;Rhipidomys mastacalis;2
34;Guerlinguetus ingrami;Sciurus aestuans;1
35;Akodon cursor;Akodon cursor;2
35;Calomys sp.;Calomys sp.;2
35;Cerradomys sp.;Cerradomys sp.;3
35;Didelphis aurita;Didelphis aurita;6
35;Gracilinanus agilis;Gracilinanus agilis;4
35;Gracilinanus sp.;Gracilinanus sp.;1
35;Hylaeamys laticeps;Hylaeamys seuanezi;28
35;Marmosa murina;Marmosa murina;10
35;Marmosops incanus;Marmosops incanus;5
35;Monodelphis americana;Monodelphis americana;2
35;Monodelphis sp.;Monodelphis sp.;1
35;Necromys lasiurus;Necromys lasiurus;1
35;Oecomys catherinae;Oecomys catherinae;1
35;Oligoryzomys nigripes;Oligoryzomys nigripes;3
35;Rhipidomys mastacalis;Rhipidomys mastacalis;4
35;Guerlinguetus ingrami;Sciurus aestuans;3
35;Thaptomys nigrita;Thaptomys nigrita;3
36;Cerradomys subflavus;Cerradomys subflavus;18
36;Gracilinanus microtarsus;Gracilinanus microtarsus;3
36;Marmosops incanus;Marmosops incanus;1
36;Monodelphis americana;Monodelphis americana;1
36;Oligoryzomys sp.;Oligoryzomys sp.;36
36;Oxymycterus sp.;Oxymycterus sp.;2
36;Philander frenatus;Philander frenatus;1
36;Rhipidomys mastacalis;Rhipidomys mastacalis;52
36;Thrichomys apereoides;Thrichomys apereoides;3
37;Akodon cursor;Akodon cursor;9
37;Cerradomys subflavus;Cerradomys subflavus;1
37;Didelphis aurita;Didelphis aurita;3
37;Gracilinanus microtarsus;Gracilinanus microtarsus;4
37;Marmosops incanus;Marmosops incanus;7
37;Necromys lasiurus;Necromys lasiurus;6
37;Nectomys squamipes;Nectomys squamipes;2
37;Oecomys catherinae;Oecomys catherinae;3
37;Oligoryzomys nigripes;Oligoryzomys nigripes;1
37;Oxymycterus dasytrichus;Oxymycterus dasytrichus;1
