SampleID;Latitude;Longitude;Locality;Reference;Sampling_effort;Traps;Study_year;Country;Ecorregion;Vegetation_type;Division;;;;;;;;;;;;;;
46;-19.93333;-43.88333;Parque das Mangabeiras;Oliveira et al. 2007;7115;wire-mesh;2003-2004;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
47;-19.95000;-40.53333;Estação Biológica Santa Lúcia;Paresque et al. 2004;3300;sherman, wire-mesh;2000-2001;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
48;-19.95000;-40.51667;Santa Teresa;Passamani & Fernandez 2011;19710;sherman, wire-mesh (2 sizes);1999-2001;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
49;-19.96667;-40.58333;Santa Teresa;Passamani & Ribeiro 2009;1950;sherman, wire-mesh;2002-2003;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
50;-20.07111;-42.73944;Fazenda Esmeralda;Fonseca & Robinson 1990;19040;sherman, wire-mesh;1985-1986;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
51;-20.15833;-40.31444;Área de Proteção Ambiental Mestre Álvaro;Guerra 2015;832;sherman, wire-mesh;2012-2013;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
52;-20.26667;-40.46667;Reserva Biológica de Duas Bocas;José et al. 2016;2559;wire-mesh (2 sizes);1987-1988;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
53;-20.26667;-40.46667;Reserva Biológica de Duas Bocas;Paresque et al. 2004;3352;sherman, wire-mesh;2001;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
54;-20.26667;-40.46667;Reserva Biológica de Duas Bocas;Pinto et al. 2009b;11880;sherman, wire-mesh, pitfall;2007-2008;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
55;-20.30306;-40.33389;Parque Estadual da Fonte Grande;Caldara-Junior & Leite 2007;5724;wire-mesh;2004-2005;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
56;-20.36667;-40.49167;Viana;Pinto et al. 2009a;1260;wire-mesh;1981-1982;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
57;-20.37222;-40.47206;Viana;Pinto et al. 2009a;900;sherman, wire-mesh;2006-2007;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
58;-20.46667;-41.80000;Parque Nacional do Caparaó;Bonvicino et al. 2002;3231;sherman, wire-mesh;1992;Brazil;Campos Rupestres montane savanna;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
59;-20.49583;-43.61250;Parque Estadual Serra do Ouro Branco;Braga et al. 2015;5184;pitfall;2009-2010;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
60;-20.52167;-41.13472;Parque Estadual do Forno Grande;Vale 2015;4172;sherman, wire-mesh, pitfall;2013-2014;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
61;-20.59833;-41.18139;Parque Estadual da Mata das Flores;Vale 2015;4312;sherman, wire-mesh, pitfall;2013-2014;Brazil;Bahia coastal forest;Semideciduous seasonal forest;Bahia;;;;;;;;;;;;;;
62;-20.60000;-42.40000;Parque Estadual da Serra do Brigadeiro;Moreira et al. 2009;4623;sherman, wire-mesh;1996-2004;Brazil;Campos Rupestres montane savanna;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
63;-20.75000;-45.88333;Mata do Paraíso;Paglia et al. 1995;5760;sherman, wire-mesh;1992-1993;Brazil;Bahia interior forest;Savannah;Interior forests;;;;;;;;;;;;;;
64;-20.75000;-45.88333;Mata do Paraíso;Lessa et al. 1999;2916;sherman, wire-mesh;1997-1998;Brazil;Bahia interior forest;Savannah;Interior forests;;;;;;;;;;;;;;
65;-20.77500;-40.59167;áreas da Samarco Mineração S.A.;Passamani et al. 2005;3331;sherman, wire-mesh;2000-2001;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
66;-20.88365;-41.83000;Varre-Sai;Gonçalves et al. 2016;2340;sherman, wire-mesh;2013-2014;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
67;-20.89919;-44.83653;Santo Antônio do Amparo;Rocha 2010;6480;sherman (2 sizes), wire-mesh (2 sizes);2008-2009;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
68;-20.94697;-41.90308;Fazenda São Matheus;R. Cerqueira unpublished data;2420;sherman, wire-mesh, pitfall;2007;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
69;-21.00020;-43.99996;Lavras;Assis 2014;5184;sherman;2012-2013;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
70;-21.09263;-42.11773;Itaperuna;Gonçalves et al. 2016;2340;sherman, wire-mesh;2013-2014;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
